# Residuals  
# Time       	p_rgh        	Ux           	Uy           	Uz           	SF6          
0.1          	9.793060e-01	1.244630e-04	1.596590e-01	9.986910e-01	1.000000e+00
0.2          	3.494150e-01	3.135730e-05	1.145150e-01	4.778360e-02	4.885170e-02
0.3          	1.387900e-01	2.121200e-05	2.736840e-02	7.035180e-02	2.911630e-02
0.4          	1.141800e-01	1.904280e-05	1.695560e-02	7.612850e-03	2.426570e-02
0.5          	9.819940e-02	1.764990e-05	1.199690e-02	6.998560e-03	2.022740e-02
0.6          	8.928490e-02	1.679570e-05	9.661770e-03	6.894030e-03	1.712730e-02
0.7          	8.140810e-02	1.630910e-05	8.428850e-03	6.873870e-03	1.457170e-02
0.8          	7.418750e-02	1.609310e-05	7.606720e-03	6.849650e-03	1.256790e-02
0.9          	6.793290e-02	1.595800e-05	6.988100e-03	6.847510e-03	1.107980e-02
1            	6.244290e-02	1.594010e-05	6.546080e-03	6.811330e-03	9.900760e-03
1.1          	5.860380e-02	1.599750e-05	6.175490e-03	6.830810e-03	9.027440e-03
1.2          	5.606380e-02	1.615610e-05	5.896650e-03	6.826310e-03	8.341250e-03
1.3          	5.434550e-02	1.637530e-05	5.618350e-03	6.851380e-03	7.766750e-03
1.4          	5.308220e-02	1.663200e-05	5.350940e-03	6.855520e-03	7.243970e-03
1.5          	5.210640e-02	1.688920e-05	5.098580e-03	6.880340e-03	6.819300e-03
1.6          	5.137000e-02	1.689030e-05	4.855560e-03	6.979080e-03	6.302780e-03
1.7          	5.076720e-02	1.714810e-05	4.647420e-03	6.946990e-03	5.956990e-03
1.8          	5.012800e-02	1.738230e-05	4.469350e-03	6.858030e-03	5.668390e-03
1.9          	4.976170e-02	1.759890e-05	4.277440e-03	6.771200e-03	5.371740e-03
2            	4.927970e-02	1.779590e-05	4.123770e-03	6.664840e-03	5.131060e-03
2.1          	4.912780e-02	1.789820e-05	3.938430e-03	6.566010e-03	4.898240e-03
2.2          	4.886030e-02	1.796530e-05	3.801410e-03	6.444380e-03	4.715350e-03
2.3          	4.870960e-02	1.795220e-05	3.680270e-03	6.322010e-03	4.580900e-03
2.4          	4.867260e-02	1.787950e-05	3.512600e-03	6.227710e-03	4.342080e-03
2.5          	4.837890e-02	1.781030e-05	3.379610e-03	6.088710e-03	4.259010e-03
2.6          	4.825580e-02	1.769170e-05	3.240460e-03	5.944400e-03	4.112060e-03
2.7          	4.811520e-02	1.759030e-05	3.112940e-03	5.769730e-03	3.974480e-03
2.8          	4.807380e-02	1.751030e-05	2.987310e-03	5.623080e-03	3.836820e-03
2.9          	4.802070e-02	1.746170e-05	2.859510e-03	5.475020e-03	3.633540e-03
3            	4.804730e-02	1.761700e-05	2.755110e-03	5.400610e-03	3.495120e-03
3.1          	4.784560e-02	1.765660e-05	2.621170e-03	5.156500e-03	3.436020e-03
3.2          	4.767950e-02	1.785930e-05	2.517150e-03	4.978360e-03	3.316170e-03
3.3          	4.761700e-02	1.803150e-05	2.385980e-03	4.831510e-03	3.204730e-03
3.4          	4.741130e-02	1.812340e-05	2.287740e-03	4.702610e-03	3.078250e-03
3.5          	4.728880e-02	1.806480e-05	2.146360e-03	4.507030e-03	2.895190e-03
3.6          	4.722380e-02	1.801420e-05	2.039490e-03	4.406120e-03	2.780300e-03
3.7          	4.696780e-02	1.786860e-05	1.942610e-03	4.252470e-03	2.681980e-03
3.8          	4.694700e-02	1.759960e-05	1.813850e-03	4.194410e-03	2.522960e-03
3.9          	4.671330e-02	1.720660e-05	1.712470e-03	3.888170e-03	2.392730e-03
4            	4.649660e-02	1.680520e-05	1.597350e-03	3.787560e-03	2.249870e-03
4.1          	4.627260e-02	1.622280e-05	1.493060e-03	3.475460e-03	2.122230e-03
4.2          	4.594960e-02	1.561170e-05	1.399600e-03	3.304860e-03	2.036330e-03
4.3          	4.569510e-02	1.495260e-05	1.298430e-03	3.117540e-03	1.916860e-03
