# Residuals  
# Time       	p_rgh        	Ux           	Uy           	Uz           	SF6          
0.1          	9.793060e-01	1.244630e-04	1.596590e-01	9.986910e-01	1.000000e+00
0.2          	3.501490e-01	3.112630e-05	1.137080e-01	4.812970e-02	4.796250e-02
0.3          	1.407130e-01	2.070120e-05	2.528560e-02	7.111320e-02	2.927170e-02
0.4          	1.163200e-01	1.902760e-05	1.704450e-02	7.602310e-03	2.511780e-02
0.5          	9.986090e-02	1.744030e-05	1.165130e-02	6.984670e-03	2.064730e-02
0.6          	9.037560e-02	1.661980e-05	9.438230e-03	6.882170e-03	1.729120e-02
0.7          	8.207720e-02	1.619740e-05	8.268240e-03	6.860480e-03	1.463340e-02
0.8          	7.453860e-02	1.595760e-05	7.487190e-03	6.840790e-03	1.264540e-02
0.9          	6.778390e-02	1.584630e-05	6.900610e-03	6.810430e-03	1.108790e-02
1            	6.214270e-02	1.584470e-05	6.458090e-03	6.772880e-03	9.826400e-03
1.1          	5.826670e-02	1.564510e-05	6.069710e-03	6.915330e-03	8.856830e-03
1.2          	5.552450e-02	1.580270e-05	5.785100e-03	6.887540e-03	8.130240e-03
1.3          	5.354440e-02	1.598280e-05	5.524490e-03	6.914090e-03	7.556310e-03
1.4          	5.204570e-02	1.623300e-05	5.264650e-03	6.921290e-03	7.040000e-03
1.5          	5.092080e-02	1.649050e-05	5.023730e-03	6.938600e-03	6.651980e-03
1.6          	4.999180e-02	1.672920e-05	4.800220e-03	6.922130e-03	6.268540e-03
1.7          	4.921700e-02	1.697300e-05	4.598450e-03	6.887600e-03	5.948250e-03
1.8          	4.856820e-02	1.718530e-05	4.420450e-03	6.814140e-03	5.656180e-03
1.9          	4.804240e-02	1.740450e-05	4.241590e-03	6.739380e-03	5.391670e-03
2            	4.759440e-02	1.757700e-05	4.071020e-03	6.656120e-03	5.157550e-03
2.1          	4.724820e-02	1.769360e-05	3.910310e-03	6.547810e-03	4.936240e-03
2.2          	4.703760e-02	1.772330e-05	3.764250e-03	6.432060e-03	4.762530e-03
2.3          	4.686960e-02	1.771400e-05	3.621920e-03	6.368720e-03	4.586870e-03
2.4          	4.670380e-02	1.764910e-05	3.488370e-03	6.238790e-03	4.421880e-03
2.5          	4.650550e-02	1.756150e-05	3.355680e-03	6.103690e-03	4.268320e-03
2.6          	4.632930e-02	1.745580e-05	3.224600e-03	5.962080e-03	4.113680e-03
2.7          	4.619140e-02	1.734180e-05	3.093550e-03	5.820520e-03	3.946770e-03
2.8          	4.609680e-02	1.728490e-05	2.974290e-03	5.624180e-03	3.834220e-03
2.9          	4.601660e-02	1.723340e-05	2.851230e-03	5.479520e-03	3.683860e-03
3            	4.595500e-02	1.729110e-05	2.736840e-03	5.303850e-03	3.557720e-03
3.1          	4.584590e-02	1.740310e-05	2.617100e-03	5.143490e-03	3.420830e-03
3.2          	4.575720e-02	1.762030e-05	2.503260e-03	4.969930e-03	3.304910e-03
3.3          	4.561560e-02	1.780010e-05	2.388810e-03	4.814300e-03	3.176290e-03
3.4          	4.548750e-02	1.789970e-05	2.275810e-03	4.662060e-03	3.037750e-03
3.5          	4.531320e-02	1.791370e-05	2.163840e-03	4.517220e-03	2.898570e-03
3.6          	4.513270e-02	1.776870e-05	2.051280e-03	4.379640e-03	2.736590e-03
3.7          	4.494850e-02	1.756450e-05	1.939010e-03	4.239180e-03	2.574570e-03
3.8          	4.483370e-02	1.735900e-05	1.833720e-03	4.059220e-03	2.441880e-03
3.9          	4.462730e-02	1.698590e-05	1.720250e-03	3.889380e-03	2.277670e-03
4            	4.446030e-02	1.657720e-05	1.612390e-03	3.692050e-03	2.143820e-03
4.1          	4.424490e-02	1.608690e-05	1.509400e-03	3.527380e-03	1.976700e-03
4.2          	4.402140e-02	1.544830e-05	1.400580e-03	3.270490e-03	1.849600e-03
4.3          	4.379120e-02	1.481710e-05	1.297010e-03	3.061870e-03	1.691590e-03
4.4          	4.354230e-02	1.415350e-05	1.204680e-03	2.899780e-03	1.566990e-03
4.5          	4.327410e-02	1.347680e-05	1.117300e-03	2.792360e-03	1.417090e-03
4.6          	4.305200e-02	1.273090e-05	1.024480e-03	2.615890e-03	1.311030e-03
4.7          	4.286020e-02	1.192060e-05	9.287440e-04	2.332290e-03	1.177070e-03
4.8          	4.263280e-02	1.122540e-05	8.553010e-04	2.227440e-03	1.084000e-03
4.9          	4.239630e-02	1.063400e-05	7.874860e-04	2.239640e-03	9.777740e-04
5            	4.222990e-02	9.877060e-06	7.171750e-04	2.057340e-03	8.773270e-04
5.1          	4.203240e-02	9.247170e-06	6.545820e-04	1.923620e-03	8.067900e-04
5.2          	4.188520e-02	8.588650e-06	5.914290e-04	1.756360e-03	7.356110e-04
5.3          	4.175170e-02	7.822120e-06	5.214950e-04	1.498970e-03	6.720320e-04
5.4          	4.159630e-02	7.260530e-06	4.713340e-04	1.389950e-03	6.107970e-04
5.5          	4.146320e-02	6.877990e-06	4.593190e-04	1.508610e-03	5.565980e-04
5.6          	4.135470e-02	6.172640e-06	3.927600e-04	1.187530e-03	5.153670e-04
5.7          	4.122320e-02	5.737410e-06	3.569050e-04	1.097340e-03	4.768790e-04
5.8          	4.112490e-02	5.428780e-06	3.285960e-04	1.090190e-03	4.425480e-04
5.9          	4.107400e-02	5.032250e-06	2.994220e-04	1.005910e-03	4.119260e-04
6            	4.104630e-02	4.775110e-06	3.081410e-04	1.129110e-03	3.906760e-04
6.1          	4.100960e-02	4.265870e-06	2.759040e-04	9.730030e-04	3.685180e-04
6.2          	4.094390e-02	3.952870e-06	2.537700e-04	8.532920e-04	3.506870e-04
6.3          	4.111620e-02	4.128710e-06	2.772560e-04	1.211620e-03	3.390430e-04
6.4          	4.109560e-02	3.909520e-06	2.601500e-04	1.168630e-03	3.295200e-04
6.5          	4.106260e-02	3.674030e-06	2.416190e-04	1.105910e-03	3.169490e-04
6.6          	4.105130e-02	3.499620e-06	2.339190e-04	1.047070e-03	3.083570e-04
6.7          	4.101920e-02	3.295920e-06	2.193590e-04	9.943410e-04	3.013550e-04
6.8          	4.099160e-02	3.110260e-06	2.086400e-04	9.447920e-04	2.955450e-04
6.9          	4.088470e-02	2.925500e-06	1.885800e-04	7.684060e-04	2.908470e-04
7            	4.085430e-02	2.771200e-06	1.796310e-04	7.246430e-04	2.893270e-04
7.1          	4.081320e-02	2.544150e-06	1.718740e-04	6.476590e-04	2.823520e-04
7.2          	4.082940e-02	2.454250e-06	1.682100e-04	6.654630e-04	2.815500e-04
7.3          	4.083280e-02	2.468270e-06	1.678320e-04	6.701420e-04	2.780660e-04
7.4          	4.082200e-02	2.399710e-06	1.656430e-04	6.612470e-04	2.780370e-04
7.5          	4.081270e-02	2.340450e-06	1.627860e-04	6.456650e-04	2.768990e-04
7.6          	4.080110e-02	2.295160e-06	1.622010e-04	6.317740e-04	2.758710e-04
