# Residuals  
# Time       	p_rgh        	Ux           	Uy           	Uz           	SF6          
0.1          	9.793060e-01	1.244630e-04	1.596590e-01	9.986910e-01	1.000000e+00
0.2          	3.527080e-01	3.135690e-05	9.849810e-02	4.868280e-02	4.422560e-02
0.3          	1.466670e-01	2.043630e-05	2.295970e-02	7.137390e-02	2.982300e-02
0.4          	1.242370e-01	1.840990e-05	1.513970e-02	7.471570e-03	2.696580e-02
0.5          	1.061610e-01	1.717480e-05	1.108230e-02	6.922650e-03	2.239460e-02
0.6          	9.275640e-02	1.649800e-05	9.221570e-03	6.807240e-03	1.854230e-02
0.7          	8.291760e-02	1.594430e-05	8.001580e-03	6.921570e-03	1.523480e-02
0.8          	7.491970e-02	1.567130e-05	7.303850e-03	6.935120e-03	1.335260e-02
0.9          	6.777700e-02	1.554700e-05	6.799030e-03	6.885810e-03	1.172750e-02
1            	6.145830e-02	1.548700e-05	6.402970e-03	6.859720e-03	1.033620e-02
1.1          	5.712700e-02	1.554290e-05	6.056960e-03	6.834700e-03	9.372910e-03
1.2          	5.392680e-02	1.571950e-05	5.772510e-03	6.799590e-03	8.620590e-03
1.3          	5.160100e-02	1.590370e-05	5.535840e-03	6.822610e-03	8.056890e-03
1.4          	4.980140e-02	1.614620e-05	5.301490e-03	6.832130e-03	7.672690e-03
1.5          	4.843510e-02	1.639840e-05	5.082830e-03	6.855390e-03	7.272150e-03
1.6          	4.736830e-02	1.663380e-05	4.866150e-03	6.846570e-03	6.937020e-03
1.7          	4.649740e-02	1.686400e-05	4.679570e-03	6.824210e-03	6.644140e-03
1.8          	4.575190e-02	1.707620e-05	4.511260e-03	6.770950e-03	6.390070e-03
1.9          	4.512490e-02	1.727770e-05	4.348470e-03	6.714810e-03	6.169260e-03
2            	4.462740e-02	1.744460e-05	4.185430e-03	6.633310e-03	5.962650e-03
2.1          	4.421820e-02	1.753760e-05	4.027300e-03	6.560850e-03	5.790000e-03
2.2          	4.392310e-02	1.758530e-05	3.877510e-03	6.460180e-03	5.622030e-03
2.3          	4.367880e-02	1.758040e-05	3.740380e-03	6.384340e-03	5.431600e-03
2.4          	4.347040e-02	1.751980e-05	3.608460e-03	6.264170e-03	5.265590e-03
2.5          	4.327350e-02	1.743740e-05	3.480370e-03	6.134200e-03	5.093400e-03
2.6          	4.305720e-02	1.733370e-05	3.351630e-03	5.995220e-03	4.926910e-03
2.7          	4.288300e-02	1.724360e-05	3.223360e-03	5.844550e-03	4.745840e-03
2.8          	4.273300e-02	1.714890e-05	3.100720e-03	5.666640e-03	4.569080e-03
2.9          	4.259670e-02	1.711660e-05	2.977590e-03	5.500100e-03	4.404410e-03
3            	4.253040e-02	1.717040e-05	2.860180e-03	5.371770e-03	4.131060e-03
3.1          	4.243680e-02	1.728580e-05	2.741830e-03	5.219000e-03	3.984210e-03
3.2          	4.232650e-02	1.749070e-05	2.624440e-03	5.057480e-03	3.777240e-03
3.3          	4.221180e-02	1.769910e-05	2.507970e-03	4.916250e-03	3.569630e-03
3.4          	4.208190e-02	1.781580e-05	2.392660e-03	4.780950e-03	3.352110e-03
3.5          	4.192500e-02	1.785470e-05	2.278370e-03	4.652500e-03	3.137750e-03
3.6          	4.174590e-02	1.775690e-05	2.169420e-03	4.586610e-03	2.916780e-03
3.7          	4.159270e-02	1.761430e-05	2.058290e-03	4.450400e-03	2.705080e-03
3.8          	4.139730e-02	1.735320e-05	1.944270e-03	4.265520e-03	2.514600e-03
3.9          	4.127730e-02	1.710310e-05	1.833380e-03	4.070370e-03	2.240410e-03
4            	4.109290e-02	1.672220e-05	1.723300e-03	3.882380e-03	2.076510e-03
4.1          	4.092480e-02	1.626440e-05	1.614380e-03	3.709110e-03	1.883530e-03
4.2          	4.071920e-02	1.571020e-05	1.508010e-03	3.512390e-03	1.735600e-03
4.3          	4.051980e-02	1.512600e-05	1.407470e-03	3.369650e-03	1.581240e-03
4.4          	4.029720e-02	1.448920e-05	1.305190e-03	3.191190e-03	1.434010e-03
4.5          	4.003750e-02	1.378470e-05	1.207320e-03	3.005120e-03	1.320720e-03
4.6          	3.983330e-02	1.306600e-05	1.110340e-03	2.836690e-03	1.140060e-03
4.7          	3.960230e-02	1.233590e-05	1.017740e-03	2.716030e-03	1.059820e-03
4.8          	3.938820e-02	1.155590e-05	9.317770e-04	2.491250e-03	9.451710e-04
4.9          	3.919660e-02	1.086100e-05	8.530350e-04	2.344900e-03	8.660090e-04
5            	3.900790e-02	1.015670e-05	7.752460e-04	2.180110e-03	7.901360e-04
5.1          	3.884740e-02	9.453010e-06	7.026130e-04	2.016830e-03	7.690970e-04
5.2          	3.871380e-02	8.805740e-06	6.470700e-04	1.914640e-03	7.303830e-04
5.3          	3.856830e-02	8.182960e-06	5.841070e-04	1.774450e-03	6.808560e-04
5.4          	3.842370e-02	7.559790e-06	5.241970e-04	1.672390e-03	6.603240e-04
5.5          	3.832330e-02	7.008270e-06	4.929600e-04	1.624270e-03	5.770100e-04
5.6          	3.822340e-02	6.456740e-06	4.391010e-04	1.460100e-03	5.855710e-04
5.7          	3.812860e-02	5.993740e-06	3.965500e-04	1.355290e-03	5.692660e-04
5.8          	3.804810e-02	5.531510e-06	3.515920e-04	1.155980e-03	5.547320e-04
5.9          	3.798670e-02	5.134600e-06	3.308180e-04	1.181300e-03	5.368690e-04
6            	3.791620e-02	4.753570e-06	3.021400e-04	1.089580e-03	5.199210e-04
6.1          	3.786220e-02	4.387130e-06	2.857470e-04	1.097300e-03	5.386090e-04
6.2          	3.785130e-02	4.007070e-06	2.707820e-04	9.514290e-04	4.755200e-04
6.3          	3.781670e-02	3.719000e-06	2.626880e-04	7.841880e-04	4.964900e-04
6.4          	3.776630e-02	3.453570e-06	2.388800e-04	7.187240e-04	5.108310e-04
6.5          	3.796590e-02	3.701900e-06	2.634630e-04	1.195930e-03	4.614840e-04
6.6          	3.796740e-02	3.521020e-06	2.508040e-04	1.144240e-03	4.597070e-04
6.7          	3.805260e-02	3.304760e-06	2.445680e-04	1.239800e-03	4.541040e-04
6.8          	3.802220e-02	3.118440e-06	2.296430e-04	1.192410e-03	4.495150e-04
6.9          	3.782860e-02	2.998160e-06	2.062790e-04	9.073930e-04	4.489550e-04
7            	3.777860e-02	2.839850e-06	1.939350e-04	8.226460e-04	4.469780e-04
7.1          	3.777090e-02	2.716260e-06	1.866320e-04	8.013790e-04	4.465290e-04
7.2          	3.766750e-02	2.351860e-06	1.695950e-04	6.020150e-04	4.718020e-04
7.3          	3.774620e-02	2.489800e-06	1.726280e-04	6.689730e-04	4.962360e-04
7.4          	3.778470e-02	2.423810e-06	1.725690e-04	7.396780e-04	4.828480e-04
7.5          	3.778880e-02	2.373450e-06	1.706690e-04	7.492910e-04	4.816990e-04
7.6          	3.778200e-02	2.315420e-06	1.686110e-04	7.383940e-04	4.697630e-04
7.7          	3.775650e-02	2.266310e-06	1.661990e-04	7.052750e-04	4.826060e-04
7.8          	3.774280e-02	2.218940e-06	1.650930e-04	6.911910e-04	4.710350e-04
7.9          	3.773180e-02	2.184480e-06	1.637610e-04	6.749100e-04	4.768280e-04
